iter	Logloss
0	0.6803847181
1	0.6691002458
2	0.6590053395
3	0.6500686632
4	0.6422322956
5	0.6352712786
6	0.6291925853
7	0.6236458614
8	0.6189420651
9	0.6144395765
10	0.610623646
11	0.6072573178
12	0.6042771205
13	0.6014352546
14	0.5989831826
15	0.5968058719
16	0.5950198052
17	0.5932876636
18	0.5917239076
19	0.5904605886
20	0.5892737987
21	0.5881398391
22	0.5871060425
23	0.5861552463
24	0.5853142585
25	0.5845136486
26	0.5838097454
27	0.5832501364
28	0.5826010773
29	0.5821006651
30	0.5815244462
31	0.5810769133
32	0.5805776341
33	0.5802039865
34	0.5798715412
35	0.5795160502
36	0.5792482365
37	0.5789812903
38	0.5787390337
39	0.5784602107
40	0.5782674469
41	0.5780823248
42	0.5778514811
43	0.5776556329
44	0.5774894718
45	0.577289092
46	0.5771197983
47	0.5769506497
48	0.5767742218
49	0.576660977
50	0.5765201886
51	0.5763963729
52	0.5762083433
53	0.5760490354
54	0.5759948458
55	0.5759181223
56	0.5758648176
57	0.575709325
58	0.5756089983
59	0.575464293
60	0.5753704883
61	0.5753071517
62	0.5751914152
63	0.5751581629
64	0.5750432352
65	0.575009755
66	0.5749534816
67	0.5748833391
68	0.5748019963
69	0.5747449032
70	0.5746495913
71	0.5745924022
72	0.5745456284
73	0.5744547626
74	0.5743860602
75	0.574340987
76	0.5742646087
77	0.5741773269
78	0.5741083138
79	0.5740491586
80	0.57397222
81	0.5738933748
82	0.5738254881
83	0.573792975
84	0.5737654668
85	0.5737146401
86	0.5736686458
87	0.5736136505
88	0.5735636252
89	0.573504244
90	0.5734939271
91	0.5734408362
92	0.5734055657
93	0.5733453482
94	0.5732930824
95	0.5732899466
96	0.5732494637
97	0.5732170861
98	0.5731913775
99	0.5731357656
100	0.5730817376
101	0.5730388567
102	0.573009796
103	0.5730101046
104	0.5729567362
105	0.572919855
106	0.5728745746
107	0.5728261204
108	0.5727801559
109	0.5727167835
110	0.5726842085
111	0.5726176971
112	0.5725694395
113	0.5725500032
114	0.5724938857
115	0.5724713265
116	0.5724318917
117	0.5723781999
118	0.5723769126
119	0.5723165808
120	0.5722934841
121	0.5722556435
122	0.5722376907
123	0.572191894
124	0.5721633921
125	0.5721376867
126	0.5721148647
127	0.5720827868
128	0.5720741923
129	0.5720368808
130	0.572006213
131	0.571978112
132	0.571947313
133	0.5719268822
134	0.5718919218
135	0.5718896595
136	0.5718772232
137	0.5718626259
138	0.5718193774
139	0.5717771971
140	0.5717662994
141	0.5717452233
142	0.5717056039
143	0.5716902228
144	0.5716894009
145	0.5716645025
146	0.571648565
147	0.5716242378
148	0.571595016
149	0.5715880028
150	0.5715711219
151	0.5715336871
152	0.5715198498
153	0.5715075019
154	0.5714762164
155	0.5714691458
156	0.5714669565
157	0.5714244767
158	0.5713986872
159	0.5713726349
160	0.5713365398
161	0.5713361196
162	0.5713283259
163	0.571306389
164	0.5712893007
165	0.5712510442
166	0.5712077082
167	0.57118056
168	0.5711699655
169	0.5711696815
170	0.5711528297
