iter	Passed	Remaining
0	154	154407
1	162	81293
2	171	57040
3	179	44729
4	188	37412
5	196	32505
6	204	28945
7	213	26416
8	221	24344
9	229	22674
10	238	21436
11	247	20366
12	256	19446
13	265	18683
14	274	18054
15	284	17491
16	293	16946
17	302	16490
18	309	15997
19	318	15624
20	327	15250
21	335	14901
22	342	14568
23	350	14253
24	358	13972
25	366	13720
26	374	13483
27	381	13249
28	389	13055
29	397	12866
30	405	12685
31	414	12524
32	421	12365
33	429	12208
34	437	12072
35	445	11935
36	453	11809
37	461	11686
38	468	11552
39	476	11437
40	484	11333
41	492	11229
42	500	11142
43	508	11054
44	518	11002
45	526	10920
46	534	10846
47	542	10763
48	550	10692
49	557	10598
50	565	10525
51	573	10457
52	581	10391
53	589	10330
54	596	10244
55	604	10184
56	613	10148
57	622	10107
58	630	10060
59	638	10008
60	647	9967
61	655	9922
62	664	9875
63	670	9804
64	678	9757
65	683	9678
66	691	9633
67	700	9597
68	708	9559
69	716	9520
70	724	9481
71	732	9444
72	740	9406
73	748	9371
74	756	9335
75	764	9295
76	773	9270
77	781	9243
78	797	9298
79	811	9337
80	829	9412
81	838	9382
82	845	9345
83	853	9303
84	860	9262
85	868	9230
86	876	9200
87	884	9169
88	892	9139
89	900	9105
90	906	9052
91	914	9022
92	922	8995
93	930	8971
94	938	8944
95	943	8887
96	951	8858
97	959	8828
98	967	8800
99	974	8772
100	982	8746
101	990	8720
102	998	8695
103	1003	8643
104	1011	8619
105	1019	8596
106	1027	8578
107	1035	8552
108	1043	8532
109	1052	8513
110	1060	8489
111	1068	8472
112	1077	8457
113	1085	8436
114	1094	8423
115	1103	8406
116	1111	8390
117	1120	8376
118	1127	8344
119	1135	8329
120	1144	8317
121	1153	8300
122	1162	8286
123	1172	8279
124	1181	8268
125	1190	8260
126	1201	8262
127	1210	8249
128	1220	8240
129	1230	8235
130	1239	8223
131	1248	8212
132	1258	8200
133	1268	8196
134	1276	8181
135	1285	8167
136	1294	8153
137	1304	8146
138	1313	8133
139	1322	8123
140	1332	8115
141	1340	8101
142	1350	8091
143	1359	8079
144	1366	8059
145	1375	8048
146	1385	8038
147	1394	8027
148	1403	8016
149	1412	8001
150	1420	7985
151	1428	7968
152	1436	7951
153	1444	7933
154	1452	7918
155	1460	7904
156	1467	7881
157	1476	7868
158	1486	7861
159	1495	7848
160	1503	7835
161	1511	7819
162	1521	7811
163	1529	7796
164	1537	7779
165	1545	7764
166	1553	7747
167	1561	7731
168	1569	7716
169	1574	7685
170	1582	7669
171	1590	7655
172	1598	7641
173	1607	7630
174	1616	7620
175	1624	7607
176	1633	7593
177	1640	7577
178	1649	7566
179	1657	7552
180	1665	7537
181	1674	7524
182	1681	7509
183	1690	7494
184	1698	7480
185	1706	7467
186	1714	7452
187	1722	7438
188	1729	7423
189	1738	7411
190	1746	7399
191	1754	7384
192	1762	7371
193	1770	7357
194	1778	7342
195	1786	7329
196	1794	7314
197	1802	7300
198	1810	7286
199	1818	7273
200	1826	7258
201	1834	7246
202	1843	7236
203	1851	7223
204	1859	7211
205	1867	7199
206	1875	7186
207	1884	7174
208	1893	7164
209	1901	7153
210	1909	7140
211	1918	7129
212	1926	7116
213	1934	7105
214	1942	7091
215	1951	7082
216	1959	7070
217	1967	7058
218	1976	7047
219	1984	7036
220	1992	7024
221	2001	7013
222	2009	7002
223	2017	6989
224	2025	6977
225	2033	6965
226	2041	6953
227	2049	6941
228	2058	6930
229	2066	6919
230	2075	6908
231	2083	6898
232	2092	6887
233	2101	6877
234	2109	6867
235	2118	6857
236	2126	6846
237	2135	6836
238	2143	6825
239	2152	6816
240	2160	6805
241	2169	6796
242	2178	6785
243	2187	6777
244	2195	6767
245	2204	6758
246	2213	6747
247	2221	6736
248	2230	6726
